demand,100,90,80,70,60,50
1398,19.96,6.09,4.56,3.45,2.57,1.84
2663,25.41,8.24,5.85,4.23,3.00,2.11
2938,22.68,7.46,5.08,3.87,2.60,1.59
3196,26.80,8.31,6.19,4.64,3.39,2.24
3197,31.10,9.60,6.85,5.04,3.75,2.49
3238,35.32,9.46,6.58,4.85,3.38,2.28
3259,20.32,6.89,5.08,3.79,2.64,1.51
3370,27.73,10.26,7.76,5.62,4.11,2.88
3402,35.00,10.55,7.87,5.75,4.20,2.63
3887,24.43,8.13,5.53,3.80,2.65,1.55
4500,52.24,11.56,7.82,5.86,4.12,2.61
4508,41.57,12.65,9.56,6.84,5.03,3.25
4892,71.24,16.42,11.71,8.66,6.42,4.30
4946,40.69,14.44,10.85,7.92,5.98,3.87
5175,37.13,11.82,7.95,6.07,4.32,2.75
5489,44.49,14.49,9.91,7.13,4.78,2.81
5739,40.35,13.30,9.95,7.22,5.16,3.12
5924,80.86,15.85,10.35,7.74,5.56,3.35
6619,63.18,19.32,14.86,10.95,8.01,5.17
8001,64.72,21.17,15.09,11.49,8.34,5.25
