timestep,hh_1,hh_2,hh_3
1,270.08,257.21,602.13
2,200.35,145.03,668.03
3,120.26,185.31,958.18
4,180.41,133.13,676.08
5,130.22,162.04,595.12
6,170.25,193.09,940.98
7,170.16,168.19,992.12
8,200.27,229.09,536.02
9,440.23,159.01,693.09
10,380.04,1248.2,598.21
11,1380.2,1162.2,698.18
12,1580.1,982.12,617.13
13,1680.2,935.05,1943.1
14,360.21,548.17,1614.2
15,980.13,273.01,1540.1
16,240.21,314.1,1400.2
17,370.09,596.1,1228.1
18,1060.1,462.16,1017.1
19,520.21,462.16,1812.1
20,419.76,394.1,1297.1
21,300.21,333.19,963.17
22,290.11,268.16,849.17
23,340.16,207.16,658.98
24,270.3,144.02,534.12
25,230.1,165.05,453.14
26,130.22,169.01,582.01
27,200.27,140.14,738.13
28,110.13,187.26,899.09
29,180.24,142.1,1354.1
30,120.12,212.2,1242.1
31,200.04,189.19,1149.1
32,190.22,153.15,1572.1
33,940.11,1199,2568.1
34,200.31,1172.1,2498.2
35,620.02,825.07,3127.2
36,1130.2,742.16,486.12
37,1170,1778.2,1140
38,420.1,2020.1,622.06
39,210.24,2159.2,842.08
40,520.27,520.17,944.16
41,350.14,658.12,1431.1
42,1240.1,617.88,1832.2
43,1000,501.08,1575.1
44,400.16,453.95,706.09
45,360.04,323.2,729.18
46,280.17,315.29,695.01
47,310.05,303.16,453.1
48,320.18,165.15,424.26
49,170.13,171.06,621.1
50,150.35,163.31,489.07
51,130.22,192.17,572.05
52,170.44,153.16,1190.1
53,130.22,168.12,958.16
54,190.34,202.99,1045.2
55,140.37,193.21,1588.2
56,200.27,218.16,1663.2
57,449.95,1108.1,1471.1
58,790.18,1200.2,1961.3
59,740.23,783.13,478.28
60,120.26,555.15,315.11
61,3891.6,1084,2021.2
62,2780.9,860.21,1088
63,1530.2,448.16,1525.1
64,490.01,361.22,1956.2
65,460.15,697.16,1414.1
66,320.06,404.21,2720
67,1300.2,338.26,2433.1
68,1700.1,316.14,867.16
69,400,303.15,809.18
70,310.05,331.05,615.14
71,319.98,367.15,498.02
72,240.26,180.29,626.16
73,130.1,153.03,510.06
74,180.22,168.06,629.16
75,150.33,182.07,1051.1
76,160.3,168.26,854.14
77,170.23,179.18,902.13
78,130.24,196.11,1167.1
79,980.07,1732,1260.1
80,910.13,440.15,742.14
81,370.34,767.09,620.11
82,790.12,302.25,462.15
83,360.15,205.07,812.13
84,170.25,245.95,611.18
85,150.14,202.18,715.16
86,180.16,477.08,632.11
87,120.12,366.04,1169.2
88,350.16,520.1,932.16
89,670.14,605.08,1054.1
90,1340.2,926.17,1216.1
91,1180.1,1139.1,1627.1
92,410.09,512.18,992.14
93,380.08,313.17,1038.1
94,270.21,238.22,1085.2
95,180.25,186.11,943.02
96,120.26,156.03,826.08
97,190.34,170.12,714.12
