timestep,hh_1,hh_2,hh_3
1,46.667,332.13,120.12
2,53.481,331.18,90.024
3,48.532,346.19,1110.2
4,48.532,347.17,210.27
5,54.56,342.13,170.01
6,43.847,363.21,120.3
7,47.609,398.08,170.44
8,53.481,363.05,110.13
9,44.662,334.09,70.309
10,54.56,316.15,150.19
11,44.916,308.09,150.35
12,47.609,302.11,240.26
13,53.481,294.2,900.17
14,46.667,279.05,700.21
15,52.403,283.17,770.14
16,42.891,423.25,610.15
17,49.489,676.09,700.13
18,49.611,670.13,630.12
19,50.567,1461.2,860.1
20,49.488,1136.1,600.11
21,42.891,1808.1,1060.1
22,53.481,764.13,1280.1
23,46.686,1106.1,1470.1
24,53.481,3020.2,780.13
25,44.916,718.21,1180.2
26,49.611,503.09,1220
27,49.489,301.09,320.09
28,49.611,295.13,90.655
29,49.611,298.09,80.55
30,44.916,304.2,80.55
31,53.481,349.09,50.85
32,49.793,381.32,150.19
33,45.819,368.26,160.32
34,47.609,866.16,630.13
35,51.635,1214.1,1840.1
36,50.567,1224.1,760.23
37,46.761,658.16,730.28
38,47.84,572.15,460.12
39,67.555,598.2,449.79
40,98.091,737.13,1150.1
41,308.19,1435.1,1750.1
42,443.13,1213.2,1130.1
43,481.12,986.17,520.14
44,489.13,1094.1,649.88
45,867.07,742.09,850.12
46,82.196,857.09,1390.1
47,53.481,846.12,469.93
48,72.249,802,470.24
49,64.637,763.16,530.21
50,61.391,823.13,540.14
51,55.654,476.13,500.06
52,62.374,331.17,140.01
53,112.54,328.05,90.28
54,50.557,333.26,90.28
55,148.3,375.19,90.024
56,65.7,395.15,170.44
57,47.59,369.14,150.19
58,119.11,346.35,130.1
59,930.1,715.19,380.29
60,1210.1,496.2,1450.2
61,1030.1,449.19,1470.1
62,849.13,492.1,1070.1
63,923.92,498.02,540.21
64,285.09,656.06,570.15
65,1558.1,706.11,510.17
66,1031.1,2285.1,830.11
67,422.08,2107.1,810.13
68,435.89,1228.2,1440.1
69,496.13,956.12,1630.1
70,788.26,904.08,1650.2
71,586.13,866.1,640.19
72,386.12,863.13,400.16
73,79.432,796.08,380.06
74,52.539,825.1,440.15
75,56.33,623.16,160.13
76,65.466,335.13,80.294
77,50.557,332.09,90.28
78,86.23,355.16,459.96
79,88.761,855.98,2260.1
80,153.91,504.18,780.36
81,89.269,320.11,160.32
82,77.68,303.15,920.15
83,106.08,303.06,450.24
