timestep,hh_1,hh_2,hh_3
1,165.16,559.24,268.89
2,211.17,445.2,238.07
3,181.17,261.18,250.07
4,197.99,214.12,221.2
5,174.17,235.13,250.28
6,172.04,210.05,232.19
7,272.27,258.19,280
8,263.13,247.2,273.12
9,186.16,295.1,217.07
10,175.17,1382.1,259.1
11,164.98,343.21,216.15
12,198.17,387.05,257.01
13,211.11,1131.1,211.14
14,166.05,511.15,260.07
15,171.09,485.08,209.03
16,184.17,444.11,241.24
17,204.13,402.02,236.1
18,273.13,444.26,267.14
19,244.1,555.14,275.22
20,219.17,989.13,271.04
21,248.12,2066.2,280.08
22,238.19,419.23,272.17
23,223.08,454.18,276.04
24,201.04,472.12,255.01
25,139.1,234.11,242.05
26,182.11,238.12,263.16
27,199.12,202.17,220.14
28,184.24,220.13,245.12
29,203.13,224.27,225.08
30,169.92,201,254.07
31,226.11,252.09,272.95
32,266.02,223.26,264.13
33,185.09,254.13,238.19
34,203.08,476.99,215.14
35,173.14,331.17,244.22
36,139.16,307.2,206.03
37,206.24,545.1,251.21
38,201.07,441.83,218.03
39,243.07,610.16,302.17
40,468.12,526.08,784.11
41,340,444.13,467.11
42,444.05,624.19,607.12
43,434.02,702.11,1164.2
44,466.09,702.15,731.14
45,455.14,616.21,790.12
46,437.11,447.19,857.08
47,195.14,410.96,668.13
48,208.06,821.21,604.08
49,199.13,977.03,472.14
50,162.02,202.07,355.29
51,171,233.34,373.05
52,174.05,201.13,351.2
53,193.98,213.05,312.15
54,227.01,225.05,272.2
55,227.19,219.01,275.08
56,236.14,237.16,282.05
57,558.13,246,685.16
58,205.24,593.19,681.07
59,564.08,545.19,433.19
60,2044.2,479.09,1617.1
61,1264.2,451.19,944.09
62,736.15,717.21,472.04
63,463.17,465.17,519.16
64,590.13,418.11,1047.1
65,515.13,622.12,998.03
66,808.15,578.07,2102.1
67,632.38,562.2,702.07
68,481.13,674.16,918.12
69,434.14,795.12,724.08
70,470.96,643.07,818.11
71,297.15,575.11,586.12
72,144.05,380.93,482.87
73,203.99,194.14,461.16
74,177.96,210.99,487.02
75,201.11,215.16,374.29
76,195.09,199.13,393.02
77,133.99,202.11,300.94
78,400.11,226.22,307.27
79,422.18,358.18,431.13
80,385.05,333.16,352.09
81,381.09,328.09,247.14
82,312.05,309.2,295.22
83,264.21,328.22,245.08
84,366.16,325.2,296.25
85,894.23,310.1,293.08
86,891.2,323,322.25
87,365.07,330.94,223.96
88,378.18,312.13,1117.2
89,500.12,327.1,1763.1
90,657.15,428.23,890.13
91,436.09,469.26,1059.1
92,490.08,555.07,1150.1
93,473.07,763.12,1202.1
94,484.11,702.08,1227.2
95,284.18,383.12,926.12
96,175.95,321.3,761.07
97,200.16,277.94,754.2
98,169.12,238.2,921.07
99,183,203.96,858.15
100,222.27,203,801.03
101,172.93,237.22,770.11
102,214.08,202.08,765.22
103,565.13,342.07,880.13
104,322.13,252.18,787.06
105,315.14,218.15,796.14
106,197.99,218.22,676.02
107,183.26,251.97,698.13
108,204.05,218.21,733.1
109,358.1,226.24,694.09
110,648.29,248.09,660.1
111,325.1,225.14,633.08
112,414.05,240.23,560.2
113,435.95,240.1,473.04
114,486.84,217.01,749.12
115,310.16,443,638.17
116,1460.1,395.06,958.01
117,448.13,398.06,832.1
118,455,428.94,798.19
119,392.18,379.22,577.21
120,161.19,199.09,462.11
121,213.14,226.21,422.18
122,186.12,197.16,453.16
123,201.09,194.12,339.2
124,199.16,227.21,542.16
125,133.98,201.02,547.1
126,215.08,197.11,490.24
127,691.08,859.22,499.02
128,284.26,1072.1,275.98
129,214.19,225.03,289.11
130,142.16,251.12,216.07
131,379.2,232.12,264.23
132,400.11,224.07,237.07
133,694.09,257.21,242.05
134,1205.2,226.14,262.23
135,274.92,247.23,321.09
136,421.2,240.05,530.13
137,420.96,219.16,624.14
138,476.99,249.22,894.19
139,519.1,227.22,930.1
140,432.08,222.07,916.17
141,433.1,255.16,443.09
142,427.99,222.14,1355.1
143,411.16,468.03,1099.2
144,302.95,501.04,825.13
145,184.01,257.18,806.09
146,194.04,200.1,758.11
147,182.16,201.02,839.22
148,147.15,234.12,761.12
149,214.21,202.11,706.1
150,206.06,201.15,730.17
