timestep,hh_1,hh_2,hh_3
1,998.08,569.2,1096.2
2,717.14,337.26,1390.1
3,452.12,233.99,1428.1
4,192.13,227.08,843.07
5,461.16,245.22,1077.2
6,184.07,802.08,821.13
7,1683.2,1189.1,1668.2
8,1418.1,267.13,787.13
9,1286.1,344.27,892.09
10,1282.3,322.11,1109.2
11,1368.3,267.99,721.14
12,3746.1,425.2,1753.1
13,3490.1,318.16,641.04
14,5072.1,486.2,1317.1
15,4741.4,1315,901.08
16,2157.1,772.09,1151.1
17,2688.1,1770.1,871.22
18,3533.2,1526.1,793.17
19,3047.1,1411.2,1032.1
20,2200.1,834,794.07
21,2227.1,942.09,866.07
22,2137.2,523.12,783.07
23,1331.2,501.96,872.13
24,1071.1,383.1,1499.1
25,719.21,231.1,959.18
26,263,239.17,1328.3
27,231.1,228.11,1450.1
28,223.3,198.11,1022.1
29,159.1,217.18,1060.1
30,197.1,202.16,644.09
31,1644.1,251.12,1622.2
32,1408.1,1673.9,943.24
33,1355.3,762.2,610.14
34,2766.1,504.11,742.06
35,3990.1,1500.1,758.19
36,2515.2,1331,1564.1
37,1545.1,1557.2,909.24
38,3164.2,958.11,1151.1
39,2935.2,1000.2,840.27
40,4319.2,1555.2,1213.1
41,2680.1,1026.2,877.08
42,2101.1,814.09,879.31
43,3069.2,1048.1,926.08
44,2632,2271.2,988.09
45,1626.2,3410.3,838.96
46,1769.3,752.21,977.09
47,863.29,482.02,730.14
48,499.03,450.11,1364.1
49,425.07,218.34,1003.2
50,214.1,211.19,1425.1
51,251.99,185.2,1569.1
52,153.08,214.21,909.04
53,219.08,215.07,1050.2
54,355.07,199.18,670.21
55,1700.2,233.13,1780.1
56,1376.1,1570.1,996.15
57,1344.1,715.14,806.09
58,2230.1,1234.2,650.13
59,2715.1,1340.1,735.09
60,3267.2,684.13,1684.1
61,1731.1,2184.3,780.09
62,3405.1,4204.2,1065.1
63,3212.2,675.05,743.17
64,3211.1,809.08,1283.2
65,4478.4,2550.2,897.11
66,3174.2,2321.1,1327.2
67,2871.1,989.11,1310.1
68,1829.1,836.12,1328.1
69,2555.2,943.17,1387.2
70,1746.1,672.2,1405.1
71,1077.1,425.11,1178.1
72,572.03,239.06,1449.1
73,894.22,210.13,930.16
74,184.04,210.15,1495.1
75,481.26,212.22,1667.1
76,530.12,219.16,855.16
77,437.16,215.08,1061.1
78,508.2,641.2,1129.1
79,2211.1,1259,1871.2
80,2072.1,329.24,854.11
81,1768.1,366.13,920.15
82,1577.1,305.23,851.11
83,2623.1,551.04,750.1
84,2652.2,317.19,1822.1
85,1740.1,389.16,678.11
86,2989.2,683.26,1173.1
87,2234.2,1488.1,706.15
88,2848.2,750.06,1449.1
89,2662.2,728.26,1268.1
90,1701.2,817.17,2461.2
91,2001.1,896.19,1639.1
92,1864.1,883.17,1467.1
93,2433.1,838.05,2770.1
94,2275.1,354.19,2444.2
95,1232.1,214.14,1395.1
96,824.11,199.24,1807.2
97,891.07,216.18,1170.1
98,904.16,192.19,1428.2
99,791.04,207.12,1493.1
100,988.09,199.08,1048.2
101,813.11,205.18,1297.1
102,885.12,1373.2,884.19
103,1964.2,1426.2,1741.1
104,2953.1,383.14,1057.2
105,2243.1,275.13,889.11
106,2471.1,261.19,752.12
107,1996.1,282.13,1038.1
108,1624.2,282.03,1802.1
109,1962.1,274.08,891.12
110,1846,419.22,1419.1
111,1524.2,1190.2,890.07
112,2156.1,472.08,1386.1
113,2003.1,640.19,1046.2
114,2041.1,1112.1,1267.1
115,2258.1,1207.1,1490.1
116,1825.1,1345.1,1917.2
117,1661.2,1106.1,1476.1
118,1637.2,503.09,1413.1
119,1070.3,260.22,1383.1
120,622.95,232.03,1605.1
121,266.12,212.01,1226.1
122,251.22,180.03,1535.1
123,269.03,198.07,1613.1
124,352.21,183.04,876.02
125,317.23,207.16,1231.2
126,410.19,835.16,1014.1
127,1672.1,1615.1,1809.1
128,1362.2,425.28,869.07
129,1340.1,283.05,868.13
130,2825.1,266.06,1100.2
131,3276.1,260.21,975.16
132,2873.1,255.29,1870.1
133,2677.1,244.14,749.23
134,2781.2,418.25,1261.1
135,2086.1,1169.2,850.08
136,2580.2,457,1486.1
137,2039.1,559.13,1316.1
138,1480.2,690.13,1948.1
139,1472,784.17,1664.1
140,1744.2,1011.2,1308
141,2633.1,766.18,1408.1
142,3284.1,334.08,1370.1
143,2462.1,264.06,1175
144,1759.1,259.31,1452.1
145,1133.2,264.27,1292.1
146,256.94,254.09,1500.1
147,301.07,269.06,1710.2
148,270.16,249.05,974.14
149,396.07,276.27,1444.2
150,378.13,917.18,955.12
151,1727.1,1515.2,1805.1
152,1385.1,418.11,989.13
153,4203.2,272.12,960.21
154,4824.2,274.18,725.17
155,5041,259.06,1010.1
156,3810.2,249.04,1780.2
157,2807.1,238.05,861.04
158,2380.1,449.04,1250.1
159,1884.2,1261.1,992.05
160,1806.1,536.97,1306
161,2178.1,547.2,1141.2
162,2030.1,879.07,1605.1
163,2616.2,996.99,1990.1
164,2830.1,1319.1,1402.2
